Location,AverageBirth,AverageEducation,AverageDrug,Latitude,Longitude,Population
Alabama,7479,19889,24333,32.94663924268507,-86.74585628227189,4392298
Alaska,984,3000,4333,61.53929202453989,-151.31149417177897,739126
Arizona,10399,27444,41111,33.87650421545662,-111.57983419203751,9953669
Arkansas,5310,10667,17222,35.07314552238799,-92.35712313432839,2665795
California,44740,114111,238889,36.89718122448979,-120.19224523809523,59652083
Colorado,5682,17000,33667,39.185609598214285,-105.29131183035715,7734597
Connecticut,2412,7667,21222,41.55938454545454,-72.69241181818181,4074019
Delaware,1046,3222,4444,39.13644805194804,-75.48771428571423,565804
Florida,20830,63556,93333,28.13875762897911,-82.12087189901219,31031088
Georgia,15014,44667,49667,32.96086985413286,-83.57111912479728,11192163
Hawaii,1390,3333,7222,20.900469127516786,-157.17823489932894,1826327
Idaho,1906,5556,10333,44.56648230088495,-114.68508097345129,1704042
Illinois,15215,38000,70000,40.336292364170355,-89.02857812041128,18104498
Indiana,8759,25222,35778,39.98211698670604,-86.28039571639582,6236667
Iowa,3093,7222,17667,42.0552384845464,-93.38532691924229,3193169
Kansas,3845,7333,16889,38.515212107623285,-97.33798714499241,2595209
Kentucky,6714,14889,21889,37.77300780669145,-85.40234814126393,3307905
Louisiana,7768,23111,22667,30.98160822784807,-91.83755379746836,4845764
Maine,984,3000,7111,44.1375487804878,-69.74428048780489,624328
Maryland,5639,17667,28778,39.09333196078435,-76.98258607843138,6840820
Massachusetts,4069,14444,38000,42.0858402877698,-71.17786330935256,9103538
Michigan,10844,32000,59444,43.476085631349754,-84.86419608127717,10403850
Minnesota,4231,10111,31222,45.49653571428573,-94.28565546874981,7402427
Mississippi,6259,14111,14778,32.89797811634351,-89.61043407202213,2093005
Missouri,7938,20444,33667,38.464815392156865,-92.44622019607841,7474758
Montana,1117,4111,7111,47.08687694444442,-110.94557916666666,842286
Nebraska,1994,4111,10444,41.210014930555566,-98.34825833333326,1910641
Nevada,3629,12222,16556,38.78679599999997,-117.37820159999998,4548072
New Hampshire,761,2444,8667,43.49215,-71.50281315789475,813191
New Jersey,6091,18000,45778,40.312848818897635,-74.51908622047247,5549930
New Mexico,4039,10444,14778,34.69410282352942,-106.51020329411786,2118537
New York,15366,56222,103667,41.961682954545466,-74.82890750000007,36249123
North Carolina,12824,35000,46778,35.440849249658896,-79.31589004092766,9441066
North Dakota,643,1556,3778,47.52731863979853,-99.64295037783377,735625
Ohio,14139,31667,65556,40.35379717138103,-82.80702695507482,13813630
Oklahoma,6675,15667,19556,35.552590027322395,-96.75078825136606,3727497
Oregon,3694,11667,23111,44.562228686327096,-122.02480991957115,5311863
Pennsylvania,12045,35222,63444,40.61170181928449,-77.63910400242564,15443773
Rhode Island,972,3556,6222,41.66150625000001,-71.57234062500002,1650022
South Carolina,7015,18000,23556,34.03092487309646,-81.1058373096447,4625071
South Dakota,1032,2667,5000,44.284767015706784,-98.92596282722515,698307
Tennessee,9681,17889,31444,35.82947353629975,-86.24952037470722,6172183
Texas,48219,96667,145778,30.75290571768909,-97.77865771292429,33717239
Utah,3099,9000,15000,39.878024534161476,-111.76328913043484,4969594
Vermont,412,1333,3889,44.05184791666667,-72.56088333333334,244194
Virginia,7710,17778,41333,37.77142525597274,-78.3673529010239,8272237
Washington,6275,20556,37333,47.342099507389136,-121.37109392446622,10455744
West Virginia,2558,6556,8444,38.60530199501246,-80.84614763092266,1347403
Wisconsin,5285,13111,34556,44.149685510996115,-89.66109469598975,5981538
Wyoming,752,1667,3667,42.779493548387094,-107.70956075268812,490393
